,Location,Cood
636,马莲,"123.889168,44.297153"
637,中川机场T1航站楼,"103.628708,36.492775"
638,铁李川,[]
639,敦煌连程票,[]
640,新寨,"115.654999,24.953222"
641,住寨,"104.899811,36.412971"
642,崖子,"121.709213,37.135048"
643,汪川(大吕),[]
644,草窝滩,"104.543129,37.359501"
645,柳树寨,"114.931824,37.935707"
646,马儿庄,"107.111557,37.184944"
647,赤城1,[]
648,望宁路口,"107.887939,35.643864"
649,钾肥厂,[]
650,三道沟,"100.830254,24.455309"
651,五合C,"130.234802,44.182926"
652,双王,"115.699226,33.392864"
653,光明,"120.550285,30.152845"
654,河西堡,[]
655,西柳,"121.197121,30.066946"
656,大风山,"102.988747,25.282616"
657,平子,"117.351151,35.262779"
658,连儿湾,"104.147408,35.432774"
659,牛家山,"105.099640,35.405060"
660,巩坝,"105.920135,33.218075"
661,文县(陇南),"104.683434,32.943815"
662,明水滩,[]
663,安子河,"126.301888,42.506180"
664,临河,"107.373679,40.764161"
665,坚家山,"105.577614,34.631393"
666,昌宁,[]
667,肖金,"107.649506,35.586697"
668,三角城,"117.070984,40.675739"
669,虢镇,"118.937691,32.044483"
670,六坝,"102.692657,37.855476"
671,玉都,"107.312027,35.452015"
672,焦村,"116.636719,40.271019"
673,小寨,"109.023056,34.275948"
674,高山,"112.546722,24.702438"
675,东柳,"129.811905,45.575363"
676,大石岔,"115.665695,41.375969"
677,北家沟,"109.321404,33.507187"
678,壕洼,[]
679,赤城,[]
680,上寨子,"100.865555,38.823704"
681,鸣沙,"105.864914,37.548763"
682,金池,"107.812096,28.688179"
683,甘沟,"122.480797,40.951012"
684,柳河乡,[]
685,仁达,"100.239449,31.999983"
686,泾明,"107.637688,35.361382"
687,李店（路口）,[]
688,新天堡,"100.576675,38.552910"
689,唐沟畎,"107.642990,35.578663"
690,五合,"130.234802,44.182926"
691,连家砭,"108.536453,36.078926"
692,庄湾,"117.205429,34.879696"
693,迷坝,"105.788376,33.539825"
694,兴仁,"105.043557,25.218623"
695,五竹,"104.117279,35.045929"
696,蔡口集,"107.375832,36.164772"
697,李店,"121.863808,39.575760"
698,何家湾,"104.049591,35.475517"
699,四房吴,"105.129387,36.056042"
700,麻布索拉,[]
701,九寨沟县,"104.243841,33.252056"
702,北寨,"119.276642,40.025116"
703,万丰,"106.558777,29.578550"
704,郭塬,"107.904099,36.200703"
705,汝林,"108.578079,25.294802"
706,叶盛,"119.884743,29.915972"
707,哨子坡,[]
708,十四号,[]
709,刘杜,"115.499031,37.650509"
710,太白,"107.319825,34.057469"
711,新阳,"124.670845,44.247749"
712,麦李,"109.228020,34.579041"
713,新堡桥,"120.894066,32.513432"
714,种田,"113.775139,38.571636"
715,靖安A,[]
716,乌海,"106.794249,39.655388"
717,钱家坝,"117.851562,32.384991"
718,孟坝,"107.261292,35.837189"
719,泗水,"116.569580,35.422618"
720,永宁,"106.253145,38.277373"
721,高崖子,"99.849319,39.219578"
722,柴门,"119.711861,34.431770"
723,水磨,"119.762550,51.108795"
724,白草,"122.278038,40.759907"
725,东沟,"108.988342,34.914406"
726,常丰岔路,"117.386086,23.839771"
727,红柳河,[]
728,白塬,"106.015266,35.489685"
729,清水（加班）,[]
730,李坝,"116.065269,36.082333"
731,花湖,"120.586700,32.187084"
732,马峡,"110.559235,33.797974"
733,马路滩绿洲,"103.138573,37.683186"
734,廖坝,"107.181053,33.073788"
735,董志,"107.644569,35.665054"
736,四门,"105.017143,34.621246"
737,井沟,"119.696587,40.307911"
738,大石,"129.292130,43.442345"
739,庙川,"105.248489,36.059933"
740,永河路口,"113.568489,37.326946"
741,河口,"118.516000,37.888423"
742,墩仁,"111.800110,26.420235"
743,黄家堡子,"125.424660,44.689453"
744,中川镇,"103.628708,36.492775"
745,会宁服务区,"104.992229,35.724881"
746,河桥,"118.337944,32.911087"
747,范家山,"123.908653,39.869930"
748,郑湾,"115.597092,36.886021"
749,张台,"113.706902,33.062103"
750,西李,"118.003906,37.381245"
